SN,Type,Host,Hostredshift(+),Hostd(†),MWE(BV),HostE(BV)(∗),t0,References
SN1993J,IIb,M81,-0.00011,3.63,0.07,0.1,49073.5,(a)
SN2004ex,IIb,NGC0182,0.01755,70.6,0.02,0.08,53287.9,(CSP)
SN2004ff,IIb,ESO-552-G040,0.0226,92.7,0.03,0.1,53297.66,(CSP)
SN2004gq,Ib,NGC1832,0.006468,25.1,0.06,0.08,53346.87,(CSP\Cfa)
SN2004gv,Ib,NGC0856,0.019973,79.6,0.03,0.03,53345.27,(CSP)
SN2005aw,Ic,IC4837A,0.009498,41.5,0.05,0.21,53445.67,(CSP)
SN2005em,Ic,IC0307,0.025981,105,0.08,0,53635,(CSP)
SN2005hg,Ib,UGC1394,0.02131,86,0.09,None,53665.75,(CSP)
SN2005kl,Ic,NGC4369,0.003485,21.57,0.02,None,53686.14,(Cfa)
SN2005mf,Ic,UGC4798,0.02676,113,0.01,None,53723.33,(Cfa)
SN2006aj,Ic-GRB,A032139+1652,0.033,132.4,0.13,0,53784.15,(Cfa\b)
SN2006ba,IIb,NGC2980,0.01908,82.7,0.04,0.1,53801.11,(Cfa\CSP)
SN2006ep,Ib,NGC0214,0.015134,61.9,0.03,None,53975.49,(Cfa\CSP)
SN2006fo,Ib,UGC02019,0.020698,82.7,0.02,0.21,53983.36,(Cfa\CSP)
SN2006lc,Ib,NGC7364,0.016228,59.2,0.06,0.36,54014.74,(Cfa\CSP)
SN2006T,IIb,NGC3054,0.008091,31.6,0.06,0.14,53757.64,(Cfa\CSP)
SN2007C,Ib,NGC4981,0.005604,21,0.04,0.43,54095.44,(Cfa\CSP)
SN2007gr,Ic,NGC1058,0.0017,9.29,0.09,0.03,54325,(Cfa\c)
SN2007kj,Ib,NGC7803,0.017899,72.5,0.07,0,54363.61,(Cfa\CSP)
SN2007uy,Ib,NGC2770,0.0065,31.33,0.02,0.63,54462.33,(Cfa\d)
SN2007Y,Ib,NGC1187,0.004637,18.4,0.02,0,54145,(CSP\e)
SN2008aq,IIb,MCG-02-33-020,0.007972,26.9,0.04,0,54510.79,(Cfa\CSP)
SN2008ax,IIb,NGC4490,0.0019,9.2,0.02,0.28,54528.3,(Cfa\f)
SN2008D,Ib,NGC2770,0.0065,31.33,0.02,0.63,54474.5,(Cfa\g)
SN2008hh,Ic,IC0112,0.01941,77.7,0.04,0,54780.69,(Cfa\CSP)
SN2009bb,Ic-BL,NGC3278,0.00988,39.8,0.09,0.48,54909.1,(CSP\h)
SN2009iz,Ib,UGC02175,0.01419,58.6,0.07,None,55083,(Cfa)
SN2009jf,Ib,NGC7479,0.0079,33.73,0.1,0.05,55099,(Cfa\i)
SN2009K,IIb,NGC1620,0.011715,44.1,0.05,0.06,54843.57,(Cfa\CSP)
SN2010as,IIb,NGC6000,0.0073,27.16,0.15,0.42,55270.75,(j)
SN2010bh,Ic-GRB,A071031-5615,0.059,244.34,0.1,0.14,55271.53,(k)
SN2011fu,IIb,UGC1626,0.019,74.47,0.07,0.01,55824,(l)
SN2011dh,IIb,M51,0.002,7.87,0.03,0.05,55712.5,(m)
SN2011hs,IIb,IC5267,0.0057,24.1,0.01,0.16,55871.5,(n)
SN2013df,IIb,NGC4414,0.0024,21.37,0.02,0.08,56447.3,(o)
SN2016coi,Ic-BL,UGC11868,0.00364,17.2,0.07,0.12,57532.5,(p)
SN2017czd,IIb,UGC9567,0.00835,32,0.02,0,57845,(q)
